case_id,image_size_x,image_size_y,image_size_z,spacing_x_mm,spacing_y_mm,spacing_z_mm,label_size_x,label_size_y,label_size_z,same_size,same_spacing
001,512,512,401,0.78125,0.78125,0.800000011920929,512,512,401,True,True
002,413,276,337,0.82421875,0.82421875,0.800000011920929,413,276,337,True,True
003,512,381,285,0.759765625,0.759765625,1.0,512,381,285,True,True
004,386,254,224,0.84375,0.84375,1.0,386,254,224,True,True
005,512,512,312,0.896484375,0.896484375,1.0,512,512,312,True,True
006,426,279,283,0.8125,0.8125,1.0,426,279,283,True,True
007,512,512,317,0.8359375,0.8359375,1.0,512,512,317,True,True
008,512,512,335,0.7421875,0.7421875,0.800000011920929,512,512,335,True,True
009,415,245,303,0.8125,0.8125,0.8000000715255737,415,245,303,True,True
010,512,512,350,0.9459999799728394,0.9459999799728394,0.7989501953125,512,512,350,True,True
011,512,512,313,0.9760000109672546,0.9760000109672546,0.7989501953125,512,512,313,True,True
012,512,512,265,0.87890625,0.87890625,1.0,512,512,265,True,True
013,512,512,375,0.78125,0.78125,0.800000011920929,512,512,375,True,True
014,458,329,298,0.7890625,0.7890625,1.0,458,329,298,True,True
015,479,281,260,0.81640625,0.81640625,1.0,479,281,260,True,True
016,512,512,235,0.78125,0.78125,1.0,512,512,235,True,True
017,512,512,280,0.78125,0.78125,1.0,512,512,280,True,True
018,512,512,375,0.78125,0.78125,0.800000011920929,512,512,375,True,True
019,512,512,350,0.6919999718666077,0.6919999718666077,0.800048828125,512,512,350,True,True
020,512,512,350,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350,True,True
021,512,512,350,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350,True,True
022,512,512,341,0.84765625,0.84765625,1.0,512,512,341,True,True
023,395,394,325,0.77734375,0.77734375,0.800000011920929,395,394,325,True,True
024,512,512,350,0.781000018119812,0.781000018119812,0.7989501953125,512,512,350,True,True
025,467,355,257,0.77734375,0.77734375,1.0,467,355,257,True,True
026,512,512,279,0.814453125,0.814453125,1.0,512,512,279,True,True
027,512,512,313,0.8309999704360962,0.8309999704360962,0.7999998927116394,512,512,313,True,True
028,445,241,304,0.83203125,0.83203125,1.0,445,241,304,True,True
029,512,512,379,0.783203125,0.783203125,0.7999998927116394,512,512,379,True,True
030,512,512,285,0.771484375,0.771484375,1.0,512,512,285,True,True
031,512,512,312,0.78125,0.78125,1.0,512,512,312,True,True
032,512,512,350,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350,True,True
033,403,263,365,0.798828125,0.798828125,0.800000011920929,403,263,365,True,True
034,512,512,363,0.8500000238418579,0.8500000238418579,0.7999999523162842,512,512,363,True,True
035,512,279,373,0.8080000281333923,0.8080000281333923,0.800000011920929,512,279,373,True,True
036,512,326,307,0.78125,0.78125,1.0,512,326,307,True,True
037,512,512,333,0.78125,0.78125,1.0060241222381592,512,512,333,True,True
038,512,512,350,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350,True,True
039,322,154,392,1.2200000286102295,1.2200000286102295,0.800000011920929,322,154,392,True,True
040,512,512,350,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350,True,True
041,512,331,374,0.7820000052452087,0.7820000052452087,0.800000011920929,512,331,374,True,True
042,512,512,350,0.8500000238418579,0.8500000238418579,0.7989501953125,512,512,350,True,True
043,512,512,274,0.86328125,0.86328125,1.0,512,512,274,True,True
044,370,183,409,0.8730469942092896,0.8730469942092896,0.625,370,183,409,True,True
045,407,248,274,0.859375,0.859375,1.0,407,248,274,True,True
046,512,512,275,0.78125,0.78125,1.0,512,512,275,True,True
